Entry	Gene ontology IDs
Q84L30	GO:0003684; GO:0005634; GO:0005737; GO:0005829; GO:0006289; GO:0009409; GO:0031593; GO:0043130; GO:0043161; GO:0070628
P54260	GO:0004047; GO:0005739; GO:0006546; GO:0008483
Q9SRM5	GO:0016042; GO:0016787; GO:0048046
Q9LDH3	GO:0008643; GO:0016021
Q27GI3	GO:0005215; GO:0005618; GO:0005773; GO:0005783; GO:0009506; GO:0016021; GO:0055085
Q56XR0	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355; GO:0007275; GO:0046983
Q93ZH0	GO:0005576; GO:0005886; GO:0006952; GO:0006955; GO:0031225; GO:0042834; GO:0046658
P14018	GO:0005576; GO:0005634; GO:0005783; GO:0005829; GO:0031966; GO:0042583
Q940G0	GO:0000139; GO:0005768; GO:0005794; GO:0005797; GO:0005801; GO:0005802; GO:0010008; GO:0016020; GO:0016021
O80844	GO:0005737; GO:0005789; GO:0008757; GO:0016021; GO:0032259
Q8GWE1	GO:0004843; GO:0005829; GO:0006511; GO:0016579
P81748	GO:0004167; GO:0005125; GO:0005615; GO:0050178
Q41058	GO:0003844; GO:0004553; GO:0009501; GO:0009507; GO:0009790; GO:0019252; GO:0043169
O22797	GO:0005829; GO:0005886; GO:0017089; GO:0051861
Q71H73	GO:0000786; GO:0003677; GO:0005634; GO:0046982
Q9C524	GO:0004747; GO:0005524; GO:0006014; GO:0006633; GO:0008865; GO:0009507; GO:0009570; GO:0016051; GO:0019252
Q9SIN2	GO:0005773; GO:0005794; GO:0009506; GO:0016021; GO:0016413; GO:0071554
P49026	GO:0005840
P0ABB8	GO:0005524; GO:0005886; GO:0005887; GO:0015444; GO:0019829; GO:0043231; GO:0046872
P46291	GO:0003735; GO:0005840; GO:0006412
P17783	GO:0005759; GO:0005975; GO:0006099; GO:0006108; GO:0030060
C0LGF4	GO:0004674; GO:0005524; GO:0005886; GO:0016021; GO:0030244
O24145	GO:0005524; GO:0009698; GO:0016207
Q9LEV3	GO:0005739; GO:0009651; GO:0045454; GO:0050897
P92519	GO:0005739
Q9QZX8	GO:0001889; GO:0005886; GO:0006857; GO:0008514; GO:0015125; GO:0015198; GO:0015238; GO:0015721; GO:0015893; GO:0016021; GO:0016323; GO:0032496; GO:0033993; GO:0034097; GO:0042493; GO:0043434; GO:0046677; GO:0051384
P93526	GO:0000155; GO:0005622; GO:0006351; GO:0006355; GO:0009584; GO:0009585; GO:0009881; GO:0017006; GO:0018298; GO:0042803
Q54CU4	GO:0005576
P54115	GO:0004029; GO:0004030; GO:0005739; GO:0005829; GO:0006068; GO:0006740; GO:0009651; GO:0019413; GO:0033721
Q08480	GO:0004017; GO:0005524; GO:0005737; GO:0006163
Q5NVN3	GO:0003831; GO:0003945; GO:0005975; GO:0006486; GO:0016021; GO:0032580; GO:0046872
Q9LSE7	GO:0005886; GO:0009506; GO:0016021; GO:0046872; GO:0055114
P14675	GO:0004022; GO:0005737; GO:0008270
P93788	GO:0005886; GO:0006810; GO:0007267; GO:0048032
O65781	GO:0003978; GO:0006012
P48000	GO:0003677; GO:0003700; GO:0005634; GO:0005829; GO:0009416; GO:0009722; GO:0071345
Q8L608	GO:0004566; GO:0005576; GO:0005765; GO:0009505
P34800	GO:0005634; GO:0007067; GO:0051301
O22881	GO:0005886; GO:0015079; GO:0016021
Q00081	GO:0005524; GO:0005978; GO:0008878; GO:0009501; GO:0009507; GO:0019252
Q9FNB0	GO:0005524; GO:0005739; GO:0009507; GO:0009570; GO:0009706; GO:0010007; GO:0015979; GO:0015995; GO:0016851
Q6ZLK0	GO:0005730; GO:0005774; GO:0005789; GO:0005794; GO:0009505; GO:0009506; GO:0009664; GO:0009826; GO:0016021; GO:0016757; GO:0018279
Q03001	GO:0000226; GO:0003779; GO:0005178; GO:0005509; GO:0005604; GO:0005634; GO:0005635; GO:0005737; GO:0005789; GO:0005829; GO:0005882; GO:0005925; GO:0005938; GO:0007010; GO:0007155; GO:0007229; GO:0008022; GO:0008090; GO:0009611; GO:0009925; GO:0015629; GO:0015630; GO:0016021; GO:0030011; GO:0030018; GO:0030056; GO:0030424; GO:0031252; GO:0031410; GO:0031581; GO:0031673; GO:0035371; GO:0042803; GO:0045104; GO:0045111; GO:0048870; GO:0051010; GO:0070062; GO:1904115
Q9M1S3	GO:0003729; GO:0005634; GO:0009414; GO:0009651; GO:0009737; GO:0010029
