Solyc01g081540.3	GO:0006306
Solyc12g005750.1	GO:0005524; GO:0006810; GO:0016021; GO:0042626; GO:0055085
Solyc03g019790.3	GO:0004601; GO:0042744
Solyc03g097030.3	GO:0003676; GO:0005524
Solyc04g078200.3	GO:0009055; GO:0051536
Solyc04g077020.3	GO:0005515
Solyc03g093360.3	GO:0005515; GO:0008270
Solyc03g078370.1	GO:0005524; GO:0016887
Solyc04g081400.3	GO:0005515
Solyc12g088700.1	GO:0006869; GO:0008289
Solyc06g053670.1	GO:0003700; GO:0005634
Solyc11g006970.2	GO:0003700; GO:0006355; GO:0043565
Solyc07g062470.3	GO:0009521; GO:0009767; GO:0016020; GO:0016168; GO:0019684
Solyc02g077710.1	GO:0016614; GO:0050660; GO:0055114
Solyc12g099930.2	GO:0005525; GO:0007264
Solyc06g068450.2	GO:0006808; GO:0030234
Solyc03g112390.3	GO:0015743
Solyc02g085870.3	GO:0004351; GO:0006536; GO:0030170
Solyc05g008290.3	GO:0016491; GO:0055114
Solyc01g091690.3	GO:0005525
Solyc12g038520.2	GO:0005515
Solyc07g042190.3	GO:0003684; GO:0006281
Solyc05g051200.1	GO:0008168
Solyc01g112260.3	GO:0005524; GO:0016020; GO:0017038
Solyc02g086300.3	GO:0006812; GO:0015299; GO:0016021
Solyc08g029050.3	GO:0003735; GO:0005840; GO:0006412
Solyc08g082250.3	GO:0005524
Solyc07g064870.3	GO:0005515
Solyc10g081720.2	GO:0003677
Solyc11g070130.2	GO:0005524; GO:0016301; GO:0016310
Solyc09g092580.3	GO:0005515
Solyc11g065530.1	GO:0016787
Solyc02g084860.1	GO:0005515; GO:0007165
Solyc03g078090.3	GO:0004252; GO:0006508
Solyc04g057940.3	GO:0043531
Solyc01g095170.2	GO:0003824
Solyc10g085230.2	GO:0003677
Solyc07g062500.3	GO:0006508; GO:0008234
Solyc12g044880.2	GO:0005515
Solyc02g066800.2	GO:0016021; GO:0022857; GO:0055085
Solyc06g082410.1	GO:0006412
Solyc08g008290.3	GO:0005515
Solyc12g006930.2	GO:0005515
Solyc11g072890.1	GO:0005506; GO:0016705; GO:0031418; GO:0055114
Solyc07g006880.1	GO:0003677; GO:0006260
Solyc08g068420.3	GO:0016788
Solyc01g105710.3	GO:0005524
Solyc01g106340.3	GO:0000723; GO:0003678; GO:0006281
Solyc05g054620.3	GO:0004190; GO:0006508
Solyc01g057000.3	GO:0000166
Solyc12g044190.2	GO:0005515
Solyc01g080460.3	GO:0008137; GO:0042773; GO:0055114
Solyc10g006480.2	GO:0004601; GO:0042744
Solyc04g074290.3	GO:0005515; GO:0008270
Solyc05g055330.3	GO:0016787
Solyc10g080230.2	GO:0003843
Solyc05g007900.2	GO:0016787
Solyc03g033510.3	GO:0004672; GO:0005524; GO:0006468
Solyc11g051160.2	GO:0003824
Solyc03g025760.3	GO:0004601; GO:0042744
Solyc02g089770.3	GO:0005515
Solyc02g085180.4	GO:0006355
Solyc03g116530.3	GO:0004672; GO:0006468
Solyc11g013810.2	GO:0004190; GO:0006508
Solyc07g063350.3	GO:0004672; GO:0006468
Solyc02g077590.1	GO:0003700; GO:0005634
Solyc12g056650.2	GO:0004616; GO:0055114
Solyc03g078730.2	GO:0000287; GO:0005986; GO:0050307
Solyc06g069850.3	GO:0005515; GO:0008270
Solyc01g111260.2	GO:0005199; GO:0009664
Solyc08g082120.2	GO:0003676
Solyc02g069670.3	GO:0006260; GO:0055114
Solyc02g062710.1	GO:0016788
Solyc12g098500.2	GO:0000786; GO:0003677
Solyc07g017950.3	GO:0005524
Solyc07g006710.1	GO:0046983
Solyc06g064500.2	GO:0003677
Solyc11g012930.2	GO:0019781; GO:0045116
Solyc01g010180.3	GO:0003677
Solyc02g062500.3	GO:0016787
Solyc07g053100.3	GO:0008152; GO:0016758
Solyc09g097870.3	GO:0005789
Solyc02g088390.3	GO:0004072; GO:0008652
Solyc05g054210.3	GO:0004190; GO:0006508
Solyc12g057000.1	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc09g007270.3	GO:0008137; GO:0042773; GO:0055114
Solyc01g087820.2	GO:0003951; GO:0006741; GO:0008152
Solyc02g080160.3	GO:0004674
Solyc01g086920.3	GO:0005634; GO:0006351; GO:0010338
Solyc06g074000.1	GO:0016021
Solyc05g010180.3	GO:0004014; GO:0006597; GO:0008295
Solyc12g014260.1	GO:0005515; GO:0008270
Solyc12g044600.3	GO:0005524
Solyc11g011400.2	GO:0003824
Solyc07g063340.3	GO:0004672; GO:0005524; GO:0006468
Solyc05g052500.3	GO:0006810; GO:0016021
Solyc08g079690.3	GO:0003677; GO:0046983
Solyc10g054840.2	GO:0005515
Solyc03g059260.3	GO:0004096; GO:0020037; GO:0055114
Solyc01g094080.3	GO:0006812; GO:0015299; GO:0016021; GO:0055085
Solyc04g057930.3	GO:0005515; GO:0008270
Solyc00g049520.2	GO:0005509; GO:0009523; GO:0009654; GO:0015979; GO:0019898; GO:0042549
Solyc12g006520.2	GO:0005524; GO:0009507
Solyc09g010700.3	GO:0008152; GO:0016627; GO:0055114
Solyc07g054860.1	GO:0009521; GO:0009767; GO:0016020; GO:0016168; GO:0019684
Solyc04g055000.3	GO:0003824; GO:0008152
Solyc10g080940.2	GO:0003677
Solyc05g052660.1	GO:0005524
Solyc02g084990.3	GO:0005634; GO:0006511; GO:0007275
Solyc10g076740.2	GO:0008168
Solyc04g063230.3	GO:0004190; GO:0016021
Solyc01g106320.2	GO:0015986; GO:0045261; GO:0046933
Solyc11g072910.1	GO:0016491; GO:0055114
Solyc09g092330.2	GO:0016491; GO:0055114
Solyc05g018510.3	GO:0005215; GO:0016021; GO:0055085
Solyc04g051470.1	GO:0005975
Solyc03g080060.1	GO:0004857
Solyc03g025320.3	GO:0004601; GO:0042744
Solyc04g073950.1	GO:0003676
Solyc02g067380.3	GO:0019825; GO:0020037
Solyc03g078440.3	GO:0004672; GO:0006468
Solyc06g059740.3	GO:0003700; GO:0006355
Solyc02g076820.3	GO:0003779
Solyc01g109180.3	GO:0004673
Solyc03g095820.3	GO:0003700; GO:0006355
Solyc06g062600.3	GO:0003700; GO:0006355
Solyc08g067890.3	GO:0003676
Solyc04g055050.1	GO:0016788
Solyc05g005720.3	GO:0003677
Solyc04g071340.4	GO:0004672; GO:0005524; GO:0006468
Solyc03g119670.3	GO:0016705; GO:0055114
Solyc05g014560.3	GO:0046872
Solyc04g078900.3	GO:0016491; GO:0046872; GO:0055114
Solyc02g087970.1	GO:0046872
Solyc03g117720.3	GO:0003677; GO:0006352
Solyc09g011040.1	GO:0004857
Solyc04g009850.3	GO:0008565; GO:0015031; GO:0016021
Solyc02g082140.3	GO:0003676
Solyc09g065660.3	GO:0005515
Solyc05g010650.3	GO:0004014; GO:0008295
Solyc12g098490.2	GO:0046983
Solyc06g072840.3	GO:0008137; GO:0042773; GO:0055114
Solyc08g016310.3	GO:0003824
Solyc01g107990.3	GO:0046983
Solyc04g082880.3	GO:0003950
Solyc02g065060.3	GO:0005975; GO:0016773
Solyc07g006220.2	GO:0006629
Solyc07g007030.1	GO:0005509
Solyc07g041900.3	GO:0016787
Solyc12g056510.2	GO:0016788
Solyc11g071420.2	GO:0016310; GO:0016772
Solyc05g053860.3	GO:0000166; GO:0046872
Solyc05g005865.1	GO:0005515
