Entry	Gene ontology IDs
Q9FJU9	GO:0005576; GO:0005886; GO:0005975; GO:0006952; GO:0009505; GO:0031225; GO:0042973; GO:0046658; GO:0071555
P69834	GO:0009507; GO:0009570; GO:0019288; GO:0050518
Q8VY00	GO:0003723; GO:0005524; GO:0005681; GO:0006397; GO:0008380; GO:0016020; GO:0034459; GO:0035194
P92934	GO:0003333; GO:0005886; GO:0015171; GO:0015172; GO:0015175; GO:0015293; GO:0015810; GO:0015827; GO:0016021
Q9C942	GO:0003846; GO:0004622; GO:0005783; GO:0005794; GO:0005886; GO:0006979; GO:0009506; GO:0009809; GO:0010043; GO:0016020; GO:0016787; GO:0042542; GO:0046686; GO:0090430
Q9C5Z3	GO:0001732; GO:0003729; GO:0003743; GO:0005634; GO:0005737; GO:0005829; GO:0005852; GO:0005886; GO:0006352; GO:0006412; GO:0006413; GO:0009640; GO:0009651; GO:0009908; GO:0016282; GO:0030371; GO:0031597; GO:0033290; GO:0071540
A5YVF1	GO:0031047; GO:0048471; GO:0050688
Q9KG32	GO:0009058; GO:0016853
Q55DY8	GO:0005381; GO:0005739; GO:0005743; GO:0016021; GO:0048250
P52839	GO:0005794; GO:0006952; GO:0008146; GO:0009651; GO:0009751; GO:0016131; GO:0080118; GO:1990135
Q3E936	GO:0005829; GO:0005886; GO:0006629; GO:0009536; GO:0009741; GO:0009742; GO:0019210
Q9M086	GO:0005634; GO:0009793; GO:0009908; GO:0010154; GO:0016567; GO:0048366; GO:0048367; GO:0048827; GO:0080008
Q8RXC8	GO:0004675; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0006468; GO:0051020
Q2HIJ8	GO:0004842; GO:0046872
Q9FZP1	GO:0004566; GO:0005576; GO:0005765; GO:0009505
O48528	GO:0005739; GO:0005741; GO:0005747; GO:0006811; GO:0008320; GO:0009507; GO:0009527; GO:0009707; GO:0015288; GO:0016020; GO:0030943; GO:0042721; GO:0042803; GO:0045039; GO:0046930
