Entry	Gene ontology IDs
Q9LY46	GO:0000139; GO:0005794; GO:0009409; GO:0016021; GO:0016413; GO:0045492; GO:0045893; GO:0050826; GO:1990538
Q05466	GO:0003700; GO:0005634; GO:0009585; GO:0009641; GO:0009733; GO:0009735; GO:0009826; GO:0010016; GO:0010017; GO:0010218; GO:0010311; GO:0042803; GO:0043565; GO:0045892; GO:0048364; GO:0080191
Q39128	GO:0005242; GO:0005886; GO:0016021; GO:0034765; GO:0042802
Q94A21	GO:0016036
F4KGE8	GO:0009639; GO:0009959
Q03199	GO:0004867; GO:0005576; GO:0009611
Q43704	GO:0000727; GO:0003688; GO:0003697; GO:0004386; GO:0005524; GO:0005634; GO:0006267; GO:0006271; GO:0042555; GO:1902975
P93834	GO:0001678; GO:0004340; GO:0004396; GO:0005524; GO:0005536; GO:0005739; GO:0005829; GO:0006096; GO:0008865; GO:0009536; GO:0009747; GO:0010182; GO:0012501; GO:0019158; GO:0031307
Q9FN03	GO:0000785; GO:0003682; GO:0005085; GO:0005634; GO:0005829; GO:0009411; GO:0009649; GO:0009881; GO:0010224; GO:0018298; GO:0042802; GO:0042803
Q9C9X7	GO:0003700; GO:0005634; GO:0006355; GO:0009630; GO:0009965; GO:0010601; GO:0043621; GO:0044212; GO:0046872; GO:0046982; GO:0048444; GO:2000012; GO:2000904
Q7VG78	GO:0003922; GO:0005524; GO:0006284; GO:0006541; GO:0008725; GO:0016462
Q9FUJ1	GO:0009823; GO:0019139; GO:0071949
Q9FX35	GO:0005739
Q6NMR9	GO:0016042; GO:0016788
Q9LUJ5	GO:0003723; GO:0003924; GO:0005730; GO:0006364; GO:0030687; GO:0034399; GO:0042273
Q0D3J9	GO:0003677; GO:0003723; GO:0046872
Q9LVZ7	GO:0004142; GO:0016021; GO:0046470
Q38865	GO:0005576; GO:0006949; GO:0009505; GO:0009664; GO:0016020
B0X1Q4	GO:0005576; GO:0005788; GO:0018242; GO:0035251
Q66PF2	GO:0016021; GO:0016758
Q9S7X6	GO:0005737; GO:0006596; GO:0009926; GO:0010087; GO:0010487; GO:0016768; GO:0048759
Q9LKA4	GO:0003723; GO:0003729; GO:0005634; GO:0005730; GO:0006397; GO:0006952; GO:0008219; GO:0009693; GO:0010150; GO:1990904
P54168	
Q9LVL4	GO:0003677; GO:0005634; GO:0045892
Q84WB7	GO:0006486; GO:0009651; GO:0009737; GO:0009845; GO:0016021; GO:0016757; GO:0030259; GO:0046872
Q8L840	GO:0000724; GO:0003676; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006268; GO:0006281; GO:0006310; GO:0006974; GO:0009378; GO:0009506; GO:0032508; GO:0043138; GO:0043140; GO:0046872; GO:0051276; GO:0070417; GO:0071215
O81108	GO:0005388; GO:0005516; GO:0005524; GO:0005783; GO:0005789; GO:0005886; GO:0015085; GO:0016020; GO:0016021; GO:0046872; GO:0070588
Q93ZL5	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0009908; GO:0043565; GO:0046872
B8XCH5	GO:0005829; GO:0005886; GO:0009506; GO:0009911; GO:0016021; GO:0099402
O82380	GO:0008270; GO:0009451; GO:0009507; GO:0031425
Q9FLX5	GO:0005524; GO:0005886; GO:0016021; GO:0016887; GO:0042626; GO:0055085
Q9SVC4	GO:0009707; GO:0031359
Q9C757	GO:0005366; GO:0005886; GO:0005887; GO:0015798; GO:0023052; GO:0090406
Q9M2S4	GO:0002229; GO:0004675; GO:0005524; GO:0005886; GO:0006952; GO:0016021; GO:0030246; GO:0042742
Q9LVC3	GO:0003723; GO:0005634; GO:0005737; GO:0006417
O80888	GO:0004674; GO:0004709; GO:0005524; GO:0005634; GO:0005737; GO:0006970; GO:0009737; GO:0009738; GO:0023014; GO:0031098; GO:0032147
P53569	GO:0000978; GO:0001228; GO:0005634; GO:0042254; GO:0045944
Q8W0Z7	GO:0004084; GO:0005829
Q9LDT3	GO:0003677; GO:0003700; GO:0005634; GO:0009944; GO:0045165; GO:0046872; GO:0048481
Q9SJW9	GO:0000076; GO:0000278; GO:0000281; GO:0003677; GO:0004693; GO:0005634; GO:0006260; GO:0009507; GO:0009658; GO:0019901; GO:0048229; GO:0051276; GO:0051315; GO:0070182; GO:0071163
Q9C6K9	GO:0004674; GO:0005524; GO:0005886; GO:0016021
P23547	GO:0005615; GO:0005975; GO:0006952; GO:0042973
Q9M2R0	GO:0000139; GO:0005618; GO:0005737; GO:0005768; GO:0005783; GO:0005789; GO:0005829; GO:0005886; GO:0009506; GO:0010008; GO:0016021; GO:0016757; GO:1902182
O24617	GO:0000406; GO:0003684; GO:0005524; GO:0005634; GO:0005886; GO:0006290; GO:0006298; GO:0006301; GO:0006310; GO:0008094; GO:0030983; GO:0032300; GO:0032301; GO:0032302; GO:0043570; GO:0045128; GO:0045910
O22864	GO:0003677; GO:0003700; GO:0005634; GO:0006355
Q9LRM7	GO:0009507; GO:0009535; GO:0009570; GO:0009639; GO:0009688; GO:0010114; GO:0010436; GO:0016121; GO:0045549; GO:0046872
Q99614	GO:0005778; GO:0005829; GO:0006457; GO:0051082
Q9FJF4	GO:0005634; GO:0008327; GO:0010369; GO:0019899; GO:0080111; GO:0080167; GO:1901537
Q7Y1B6	GO:0003700; GO:0003712; GO:0005634; GO:0009723; GO:0009737; GO:0009740; GO:0009863; GO:0009867; GO:0009938; GO:0010187; GO:0042538; GO:0043565; GO:2000033; GO:2000377
F4IUW3	GO:0003333; GO:0005774; GO:0015171; GO:0016021
Q0JP99	GO:0003677; GO:0005634
Q9SX98	GO:0003333; GO:0005886; GO:0015171; GO:0016021
Q9C7A2	GO:0005634; GO:0005886; GO:0009651; GO:0016020; GO:0016021; GO:0034613
O04974	GO:0003852; GO:0009098
Q9C6S5	GO:0005886; GO:0015203; GO:0015293; GO:0015846; GO:0016021
Q9S972	GO:0004672; GO:0004674; GO:0004675; GO:0005524; GO:0005829; GO:0005886; GO:0006468; GO:0016021; GO:0030246; GO:0031625; GO:0034613; GO:0046777; GO:0048544
Q9S7G6	GO:0000175; GO:0000957; GO:0000958; GO:0000963; GO:0000965; GO:0003723; GO:0004654; GO:0005739; GO:0005829; GO:0006364; GO:0006397; GO:0006401; GO:0008033; GO:0009507; GO:0009570
Q9LDD1	GO:0004842; GO:0005634; GO:0006952; GO:0043067; GO:0043161; GO:0046872
Q6ZAR0	GO:0005634; GO:0006355; GO:0008289; GO:0043565
Q8GY60	GO:0004721; GO:0004722; GO:0004724; GO:0005886; GO:0006470; GO:0046872
P34802	GO:0004161; GO:0004311; GO:0004337; GO:0005829; GO:0008299; GO:0009507; GO:0009513; GO:0009536; GO:0009793; GO:0016117; GO:0033384; GO:0033386; GO:0043693; GO:0045337; GO:0046872
O48716	GO:0005634; GO:0005737; GO:0009846
Q9LNC9	GO:0003700; GO:0005634; GO:0007275; GO:0009651; GO:0009739; GO:0009751; GO:0009753; GO:0009909; GO:0030154; GO:0043565; GO:0044212
B8BDK4	GO:0009941; GO:0016021
O04716	GO:0000400; GO:0000710; GO:0003684; GO:0005524; GO:0006290; GO:0006298; GO:0008094; GO:0030983; GO:0032300; GO:0032301; GO:0032876; GO:0036297; GO:0043570; GO:0045910
Q9SFW6	GO:0000079; GO:0000307; GO:0005634; GO:0005737; GO:0005813; GO:0006468; GO:0016538; GO:0019901; GO:0044772; GO:0051301
