Entry	Gene ontology IDs
Q8LPK5	GO:0005618; GO:0005794; GO:0005802; GO:0005886; GO:0006970; GO:0009414; GO:0009833; GO:0009834; GO:0016021; GO:0016759; GO:0016760; GO:0030244; GO:0042742; GO:0046872; GO:0050832; GO:0071555
Q7XR02	GO:0009741; GO:0009742; GO:0009826; GO:0040008
O04136	GO:0003677; GO:0005634; GO:0006355
Q9LN68	GO:0005783; GO:0005789; GO:0005794; GO:0010051; GO:0010417; GO:0016021; GO:0032504; GO:0045489; GO:0047262; GO:0048366; GO:0052386
Q8L4B0	GO:0000139; GO:0016021; GO:0045489; GO:0047262; GO:0071555
O04500	GO:0009664; GO:0009832; GO:0010215; GO:0031225; GO:0046658; GO:0052324
A8MQR0	GO:0016021; GO:2000769
Q6DR10	GO:0005794; GO:0016021; GO:0016413
Q84WP6	GO:0003677; GO:0003700; GO:0005634; GO:0009834; GO:0010047; GO:0045893
Q6SYB9	GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730; GO:0046872
O80946	GO:0005524; GO:0005886; GO:0009624; GO:0010208; GO:0016021; GO:0016887; GO:0042626; GO:0055085
O80915	GO:0005768; GO:0005783; GO:0005794; GO:0005802; GO:0005829; GO:0010008; GO:0016021; GO:0016192
Q84RF2	GO:0005634; GO:0045892
Q7Y201	GO:0016021; GO:0030599; GO:0042545; GO:0045330; GO:0045490; GO:0046910
Q9SQT8	GO:0003855; GO:0004764; GO:0009073; GO:0009423; GO:0009507; GO:0009570; GO:0009793; GO:0019632; GO:0050661
P11043	GO:0003866; GO:0009073; GO:0009423; GO:0009507; GO:0009635
P92934	GO:0003333; GO:0005886; GO:0015171; GO:0015172; GO:0015175; GO:0015293; GO:0015810; GO:0015827; GO:0016021
Q9SSC7	
F4HSX9	
Q03461	GO:0006869; GO:0008289
Q38850	GO:0003700; GO:0005634; GO:0010090; GO:0010214; GO:0010468; GO:0030154; GO:0043565; GO:0044212; GO:0048354
Q8LEB6	GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0016021
A2Z1C8	GO:0005886; GO:0009834; GO:0016021; GO:0016760; GO:0030244; GO:0046872; GO:0071555
Q6RYA0	GO:0009862; GO:0016298; GO:0080031
Q9SJR0	GO:0003677; GO:0003700; GO:0005634; GO:0009873; GO:0050832
Q9FWS9	GO:0003700; GO:0005634; GO:0043565; GO:0048510
O65695	GO:0009734; GO:0040008
Q8LED3	GO:0000139; GO:0005794; GO:0005886; GO:0009827; GO:0016021; GO:0016413; GO:0030244; GO:0045489; GO:0045492; GO:1990538
Q84WU6	GO:0000987; GO:0003700; GO:0005634; GO:0006355; GO:0009555; GO:0009653; GO:0009734; GO:0010208; GO:0048830; GO:0052543
Q8GYX3	GO:0005737; GO:0005874; GO:0007010; GO:0008017; GO:0009832; GO:0010051; GO:0071555
K4CF70	GO:0004497; GO:0005506; GO:0006952; GO:0009707; GO:0016021; GO:0016125; GO:0016705; GO:0016829; GO:0020037; GO:0031408; GO:0055114
Q9SCQ6	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0009740; GO:0009937; GO:0010336; GO:0046872
F4HZX7	GO:0006004; GO:0016021; GO:0016757
Q94C70	GO:0009506; GO:0016021; GO:0022857
Q9SRN0	GO:0009506; GO:0016021; GO:0046658; GO:0051607
Q7VG78	GO:0003922; GO:0005524; GO:0006284; GO:0006541; GO:0008725; GO:0016462
O24150	GO:0009809; GO:0042409; GO:0046872
U5N4E3	GO:0004553; GO:0005975; GO:0008061; GO:0009877; GO:0016787
Q41073	GO:0006869; GO:0008289
Q9FH36	GO:0000139; GO:0005794; GO:0010413; GO:0010417; GO:0016021; GO:0045489; GO:0045492; GO:0047262; GO:0071555
