Entry	Gene ontology IDs
Q9LRM7	GO:0009535; GO:0009570; GO:0009639; GO:0009688; GO:0010114; GO:0045549; GO:0046872
P32026	GO:0005576; GO:0005618; GO:0005773; GO:0031640; GO:0050832
O49814	GO:0005506; GO:0016021; GO:0016117; GO:0016491; GO:0016787; GO:0031969
Q8L7W7	GO:0004017; GO:0005524; GO:0005739
Q5ZMM5	GO:0005634; GO:0005737; GO:0006417; GO:0045892; GO:0046872; GO:1902455
Q96480	GO:0004349; GO:0004350; GO:0005524; GO:0005737; GO:0055129
Q9XHL7	GO:0005737
Q39224	GO:0010150; GO:0016682; GO:0046872
Q56E62	GO:0004550; GO:0005524; GO:0006183; GO:0006228; GO:0006241; GO:0046872
F4K0E8	GO:0005506; GO:0009507; GO:0009570; GO:0009617; GO:0009862; GO:0009941; GO:0016114; GO:0019288; GO:0046429; GO:0051539
P48384	GO:0006662; GO:0009507; GO:0015035; GO:0045454
Q3E902	GO:0000447; GO:0000461; GO:0003735; GO:0006412; GO:0022627; GO:0042256
Q9SEU6	GO:0004791; GO:0004857; GO:0005618; GO:0006109; GO:0006662; GO:0008047; GO:0009507; GO:0009535; GO:0009570; GO:0009579; GO:0009735; GO:0009941; GO:0015035; GO:0016671; GO:0019904; GO:0034599; GO:0043085; GO:0043086; GO:0045454; GO:0047134
P21265	GO:0004018; GO:0005829; GO:0006189; GO:0044208; GO:0070626
P35130	GO:0005524; GO:0016567; GO:0016740
Q6RVV4	GO:0005516; GO:0009706; GO:0015031; GO:0016491
Q94F62	GO:0004675; GO:0004714; GO:0005524; GO:0005886; GO:0007166; GO:0010008; GO:0016021; GO:0033612
Q5XH16	GO:0003723; GO:0005681; GO:0005730; GO:0006397; GO:0008380; GO:0042254
P69249	GO:0004497; GO:0009507; GO:0009853; GO:0015977; GO:0015979; GO:0016984
Q9ZR41	GO:0005737; GO:0009055; GO:0015035; GO:0045454
P05478	GO:0005737
A5GR03	GO:0004151; GO:0019856; GO:0044205; GO:0046872
Q23655	GO:0005777; GO:0006810; GO:0008289
Q9XFH8	GO:0004791; GO:0004857; GO:0006109; GO:0006662; GO:0008047; GO:0009507; GO:0009534; GO:0009570; GO:0009642; GO:0015035; GO:0016671; GO:0019904; GO:0034599; GO:0043085; GO:0043086; GO:0045454; GO:0047134
P29384	GO:0000165; GO:0000977; GO:0003700; GO:0005634; GO:0006351; GO:0030154; GO:0045944; GO:0046983; GO:0048481
P28554	GO:0009509; GO:0009534; GO:0009941; GO:0016117; GO:0016166; GO:0016705
O04397	GO:0004324; GO:0009507; GO:0015979
Q9FLI7	GO:0005739; GO:0009507; GO:0009570; GO:0010150; GO:0046872; GO:0051537; GO:0055072; GO:0072593
Q76CU2	GO:0005524; GO:0006810; GO:0016021; GO:0016887
Q66PF4	GO:0008152; GO:0009636; GO:0050412
P49099	GO:0005789; GO:0016021; GO:0020037; GO:0031090; GO:0046872; GO:0055114
Q9M2F1	GO:0000028; GO:0003735; GO:0005618; GO:0005840; GO:0006412; GO:0009506; GO:0022626; GO:0022627; GO:0042255; GO:0042256; GO:0042788; GO:0046872
Q8L9W3	GO:0004842; GO:0008270; GO:0016021; GO:0016567; GO:0043161; GO:0061630
Q8S4R4	GO:0016117; GO:0016491; GO:0031969; GO:0046608
Q84WM9	GO:0003746; GO:0005853; GO:0005886
O64896	GO:0004805; GO:0005992
P46291	GO:0003735; GO:0005840; GO:0006412
P42798	GO:0003735; GO:0005618; GO:0005774; GO:0005829; GO:0005886; GO:0006412; GO:0009506; GO:0016020; GO:0022626; GO:0022627; GO:0042255; GO:0042256; GO:0042788
Q1A173	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355
Q9LQL2	GO:0005886; GO:0010150; GO:0010167; GO:0015112; GO:0015293; GO:0015706; GO:0016021; GO:0055075
Q4QP03	GO:0005886; GO:0009306; GO:0016021; GO:0043953
Q9STX3	GO:0005634; GO:0009740; GO:0009845; GO:0010162; GO:0016567; GO:0019005
P08196	GO:0004310; GO:0006696; GO:0009507; GO:0016117; GO:0016767; GO:0051996
Q96288	GO:0003677; GO:0003700; GO:0003712; GO:0005634; GO:0006351; GO:0006355; GO:0008270; GO:0009416; GO:0010228; GO:0048573; GO:0080167
Q8VYN9	GO:0002238; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0006950; GO:0009507
Q9FNP8	GO:0000028; GO:0003735; GO:0005773; GO:0005829; GO:0006412; GO:0022626; GO:0022627; GO:0042255; GO:0042256; GO:0042788
Q6Q877	GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0008270; GO:0009405
Q39255	GO:0000226; GO:0005634; GO:0005819; GO:0005829; GO:0005886; GO:0006511; GO:0007059; GO:0007275; GO:0009524; GO:0009734; GO:0009873; GO:0016032; GO:0016567; GO:0045910; GO:0046686
P34893	GO:0005507; GO:0005524; GO:0005739; GO:0005759; GO:0006986; GO:0009408; GO:0051082; GO:0051085; GO:0051087
O82117	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0008270; GO:0009416; GO:0009908; GO:0009909; GO:0048577
Q9M4W3	GO:0008685; GO:0009507; GO:0016114; GO:0019288; GO:0046872
Q9AXQ3	GO:0003743; GO:0003746; GO:0006452; GO:0043022; GO:0045901; GO:0045905
P43297	GO:0000932; GO:0004197; GO:0005615; GO:0005764; GO:0005773; GO:0005794; GO:0006508; GO:0008233; GO:0008234; GO:0009506; GO:0009507; GO:0010494; GO:0048046; GO:0050832; GO:0051603
E7C196	GO:0016491; GO:1901868; GO:1901869; GO:1901871; GO:1901872
Q9FHH8	GO:0003700; GO:0005634; GO:0006355; GO:0008270; GO:0009416; GO:0009909
Q9SVC4	GO:0009707; GO:0031359
Q9FZ47	GO:0008152; GO:0009409; GO:0009416; GO:0009507; GO:0009535; GO:0009570; GO:0009735; GO:0009744; GO:0009941; GO:0010319; GO:0016597
Q9LRP7	GO:0000421; GO:0005874; GO:0006914; GO:0015031; GO:0019776; GO:0019779; GO:0019786; GO:0031410
Q9FYF7	GO:0005773; GO:0005783; GO:0005811; GO:0009555; GO:0034389; GO:0045927; GO:0080186; GO:1902584
O48965	GO:0004452; GO:0008299; GO:0015979; GO:0015995; GO:0016787; GO:0046872; GO:0050992
P47925	GO:0005576; GO:0005618
Q9FN30	GO:0004838; GO:0005829; GO:0006572; GO:0010189; GO:0030170
Q9FI44	GO:0005739; GO:0006099; GO:0006121; GO:0018293; GO:0034553
P52032	GO:0004602; GO:0006979; GO:0009507; GO:0009535; GO:0009570; GO:0009941; GO:0047066
P73627	GO:0004672; GO:0005524
P43296	GO:0000323; GO:0004197; GO:0005615; GO:0005634; GO:0005764; GO:0005773; GO:0006970; GO:0009651; GO:0042742; GO:0051603
Q8H7Y8	GO:0000786; GO:0000790; GO:0003677; GO:0006342; GO:0046982
Q944G9	GO:0004332; GO:0006094; GO:0006096; GO:0009507; GO:0009570; GO:0009579; GO:0009737; GO:0009941; GO:0010287; GO:0016020; GO:0046686; GO:0048046
O49627	GO:0005198; GO:0005739; GO:0005759; GO:0006879; GO:0008198; GO:0016226; GO:0036455; GO:0051537; GO:0051539; GO:0097428
Q84RL7	GO:0005886; GO:0015250; GO:0016021; GO:0043234; GO:0051289; GO:0051290
Q39202	GO:0004674; GO:0005516; GO:0005524; GO:0005886; GO:0006468; GO:0016021; GO:0030246
Q9LZT4	GO:0005576; GO:0005618; GO:0005794; GO:0009505; GO:0009506; GO:0016021
Q00748	GO:0005524; GO:0005886; GO:0005919; GO:0008559; GO:0009636; GO:0015562; GO:0042908; GO:0043190; GO:0060857; GO:0097254
P81393	GO:0003677; GO:0005634; GO:0006351; GO:0006355
P17514	GO:0000272; GO:0004568; GO:0005576; GO:0006032; GO:0006952; GO:0009607; GO:0016998
B7FA90	GO:0006636; GO:0009266; GO:0009535; GO:0009915; GO:0010176; GO:0010189; GO:0016021; GO:0031347; GO:0071555
P51414	GO:0003729; GO:0003735; GO:0005634; GO:0005730; GO:0005774; GO:0005829; GO:0005886; GO:0006412; GO:0009409; GO:0009507; GO:0016020; GO:0022625; GO:0022626; GO:0042255; GO:0042256; GO:0042788
Q6DBP4	GO:0005576; GO:0009505; GO:0052793; GO:0071555
P29766	GO:0002181; GO:0003735; GO:0022625
C5D3T6	GO:0003735; GO:0006412; GO:0015934; GO:0019843
Q9LVY1	GO:0004838; GO:0005829; GO:0006520; GO:0006559; GO:0006572; GO:0009058; GO:0030170; GO:0080130
P50346	GO:0005840; GO:0042254
Q9STY6	GO:0003729; GO:0003735; GO:0005618; GO:0005730; GO:0005829; GO:0006412; GO:0009506; GO:0016020; GO:0022626; GO:0022627; GO:0042255; GO:0042256; GO:0042788
Q93VI3	GO:0003735; GO:0005773; GO:0005774; GO:0005829; GO:0005886; GO:0006412; GO:0009506; GO:0009507; GO:0022625; GO:0042256
Q9FLF0	GO:0003735; GO:0005829; GO:0006412; GO:0009506; GO:0016020; GO:0019843; GO:0022627; GO:0045903
O49726	GO:0005215; GO:0016021
Q1LZH1	GO:0005741; GO:0005777; GO:0016491; GO:0030151; GO:0030170
Q9S9N9	GO:0005829; GO:0007623; GO:0009409; GO:0009809; GO:0016621; GO:0050662
P46301	GO:0005840
Q9SKK0	GO:0005634; GO:0006511; GO:0009723; GO:0009873; GO:0010105; GO:0016567
P93017	GO:0007275
Q9LK58	GO:0003723; GO:0004519; GO:0009451; GO:0043231
Q9FE06	GO:0005615; GO:0005618; GO:0005794; GO:0005829; GO:0009505; GO:0009506; GO:0048046
P10691	GO:0005985; GO:0016157
O04922	GO:0004602; GO:0005634; GO:0005829; GO:0005886; GO:0006979
Q9XGY4	GO:0005739; GO:0005758; GO:0015031; GO:0046872
Q9SDY5	GO:0005524; GO:0005737; GO:0009733; GO:0016874; GO:0019788; GO:0045116
Q9LUV4	GO:0009908; GO:0030154
Q8NGI8	GO:0004930; GO:0004984; GO:0005549; GO:0005886; GO:0007186; GO:0016021
Q6Z1D5	GO:0000421; GO:0005874; GO:0006914; GO:0015031; GO:0031410
Q7QBJ0	GO:0016787
P42815	GO:0003723; GO:0033897
P08509	GO:0006809; GO:0009703; GO:0020037; GO:0030151; GO:0042128; GO:0043546; GO:0050464
O23264	GO:0000103; GO:0005829; GO:0008430; GO:0009506; GO:0042542; GO:0046686; GO:0071291
Q9SSA8	GO:0001666; GO:0003700; GO:0005634; GO:0005886; GO:0006351; GO:0009873; GO:0043565; GO:0070483
Q9FJH8	GO:0005886; GO:0015112; GO:0015706; GO:0016021; GO:0042128; GO:0071249
Q6R0H1	GO:0003700; GO:0005634; GO:0006351; GO:0006355; GO:0007623; GO:0009409; GO:0009651; GO:0009723; GO:0009733; GO:0009737; GO:0009739; GO:0009751; GO:0009753; GO:0042752; GO:0042754; GO:0043433; GO:0044212; GO:0046686; GO:0048574
Q94EG3	GO:0004784; GO:0030145; GO:0045735; GO:0048046
F8WKW8	GO:0008152; GO:0016758
P05147	GO:0003855; GO:0019631; GO:0046279
Q7DM58	GO:0000325; GO:0005524; GO:0005773; GO:0005774; GO:0005794; GO:0005886; GO:0006855; GO:0008559; GO:0009414; GO:0009506; GO:0009611; GO:0009624; GO:0010118; GO:0016021; GO:0042626; GO:0055085
Q9SUT9	GO:0005783; GO:0005789; GO:0005794; GO:0005886; GO:0071458; GO:0071782; GO:0071786
Q9ZUU2	GO:0009507; GO:0016209; GO:0055114
Q6A6A3	GO:0004019; GO:0005525; GO:0005737; GO:0044208; GO:0046872
Q8L910	GO:0004602; GO:0005829; GO:0006979
Q8EPD5	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:2001295
Q1G3I2	GO:0005634; GO:0007623; GO:0008270; GO:0009909; GO:0030674
P20144	
C0MGM6	GO:0005737; GO:0006518; GO:0008237; GO:0008270; GO:0045148
Q8RN03	GO:0004497; GO:0005506; GO:0016705; GO:0020037; GO:0033072
P49211	GO:0003735; GO:0005730; GO:0005829; GO:0006412; GO:0022625; GO:0022626; GO:0042255; GO:0042256; GO:0042788
Q94F47	GO:0005524; GO:0016567; GO:0016740
O14155	GO:0005634; GO:0005829
Q96471	GO:0004014; GO:0006557; GO:0006597; GO:0008295
Q2TA14	GO:0004180; GO:0005764; GO:0008236; GO:0043535
O80929	GO:0002181; GO:0003735; GO:0022625; GO:0042256
Q56X52	GO:0009535; GO:0009579; GO:0009657; GO:0009916; GO:0016021; GO:0016117; GO:0046862; GO:0046872; GO:0070469
O04066	GO:0000062; GO:0006810; GO:0008289
O65695	GO:0009734; GO:0040008
Q8L8Y0	GO:0003723; GO:0003735; GO:0005886; GO:0006412; GO:0009506; GO:0009507; GO:0016020; GO:0022627; GO:0042256
Q9ZQ80	GO:0006952; GO:0009408; GO:0009409; GO:0009617; GO:0009651; GO:0009738; GO:1900426
Q71H73	GO:0000786; GO:0003677; GO:0005634; GO:0046982
Q07760	GO:0003735; GO:0005840; GO:0006412
Q9XES0	GO:0009507; GO:0019288; GO:0030604; GO:0046872; GO:0070402
Q9LZP9	GO:0005507; GO:0006461; GO:0009416; GO:0009507; GO:0009570; GO:0009744; GO:0016151; GO:0018316; GO:0019253; GO:0019899; GO:0030674; GO:0032403; GO:0034605; GO:0043234; GO:0070417; GO:0071454; GO:0080153; GO:0099080
P82412	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q93VK5	GO:0005506; GO:0009507; GO:0009941; GO:0010291; GO:0016117; GO:0016123; GO:0016705; GO:0020037; GO:0031969
Q9FPN0	GO:0005887; GO:0009555; GO:0009901; GO:0051119
Q7XA78	GO:0005506; GO:0009507; GO:0009536; GO:0010223; GO:0016859; GO:1901601
Q0DBW8	GO:0003677; GO:0046872
Q9FY06	GO:0009535; GO:0016021; GO:0051205
Q851Y7	GO:0009055; GO:0009507; GO:0015035; GO:0045454; GO:0046872; GO:0051537
Q07511	GO:0005739; GO:0008863; GO:0016616; GO:0051287
A7VLV1	GO:0009507; GO:0010271
P37830	GO:0004345; GO:0005737; GO:0006006; GO:0006098; GO:0050661
Q9VI10	GO:0000387; GO:0000398; GO:0003723; GO:0005681; GO:0005682; GO:0005685; GO:0005686; GO:0007067; GO:0022008; GO:0030532; GO:0046540; GO:0071011; GO:0071013
O65390	GO:0004175; GO:0004190; GO:0005773; GO:0005829; GO:0006508; GO:0006629; GO:0009506; GO:0009651; GO:0009735; GO:0030163
D3ZAF6	GO:0000276; GO:0005654; GO:0005753; GO:0006754; GO:0015992; GO:0016021; GO:0016887; GO:0046034; GO:0070062
Q0JKZ0	GO:0003854; GO:0006694; GO:0009809; GO:0042742
C5CA24	GO:0005737; GO:0090529
Q05758	GO:0004455; GO:0005507; GO:0005618; GO:0005739; GO:0009097; GO:0009099; GO:0009507; GO:0009536; GO:0009570; GO:0009941; GO:0046686; GO:0048046
Q9C9K2	GO:0005507; GO:0009507; GO:0016151; GO:0019253; GO:0034605; GO:0043234; GO:0071454; GO:0080153
Q8L8T2	GO:0005737; GO:0009055; GO:0015035; GO:0045454
Q9ZWR8	GO:0005737; GO:0047183; GO:0102777; GO:0102815
Q9C7Z9	GO:0004180; GO:0005576; GO:0016747; GO:0019748
P59044	GO:0002862; GO:0005000; GO:0005524; GO:0005886; GO:0006954; GO:0009617; GO:0010506; GO:0031965; GO:0034122; GO:0042060; GO:0043124; GO:0045087; GO:0050727; GO:0061702; GO:0070255; GO:0070373
C5C8U3	GO:0005737; GO:0009039; GO:0016151; GO:0043419
Q91YT7	GO:0000932; GO:0003723; GO:0005634; GO:0005829; GO:0043488; GO:0048598; GO:1903679; GO:1990247
Q9FVI2	GO:0003779; GO:0015629; GO:0030042
A6UU47	GO:0000287; GO:0005975; GO:0008966
Q9UTC2	GO:0005634; GO:0005829
Q8S528	GO:0004029; GO:0005759
P9WIN1	GO:0004340; GO:0005524; GO:0040007; GO:0047330
P0CB19	
Q9FVI1	GO:0003779; GO:0015629; GO:0030042
Q9ZVI6	
P31674	GO:0000028; GO:0003723; GO:0003735; GO:0006412; GO:0022627
